Name,Director,Country,Year,Location,Format,Viewed Ever/This Version,Recommend?,Unwatched shortlist,"
"
Bad Boy Bubby,Rold De Heer,Australia,1993,Dublin,HD,Y/Y,"N
",,
La Promesse,The Dardenne Brothers,Belgium,1996,,,Y/Y,Y,,
Fish Tank,Andrea Arnold,Britain,2009,Dublin,DVD,,Y,,
Trainspotting,Danny Boyle,Britain,1996,,HD,Y/Y,Y,,
Wittgenstein,Derek Jarman,Britain,1993,Dublin,DVD,Y/Y,N,,
Lost In La Mancha,Keith Fulton and Louis Pepe,Britain,2002,Dublin,DVD,Y/Y,,,
The Devils,Ken Russell,Britain,1971,Dublin,SD,Y/Y,Y,,
1984,Michael Radford,Britain,1984,Dublin,,Y/Y,,,
Naked,Mike Leigh,Britain,1993,Dublin,ISO,"Y/Y
",Y,,
49th Parallel,Powell and Pressburger,Britain,1941,Dublin,DVD,Y/Y,N,,
The Life and Death of Colonel Blimp,Powell and Pressburger,Britain,1943,Dublin,DVD,Y/N,N,,
A Canterbury Tale,Powell and Pressburger,Britain,1944,Dublin,DVD,Y/N,Y,,
I Know Where I'm Going,Powell and Pressburger,Britain,1945,Dublin,DVD,Y/Y,Y,,
A Matter of Life and Death”,Powell and Pressburger,Britain,1946,Dublin,DVD,Y/Y,Y,,
Black Narcissus,Powell and Pressburger,Britain,1947,Dublin,DVD,Y/Y,N,,
The Red Shoes,Powell and Pressburger,Britain,1948,Dublin,BD,Y/Y,Y,,
The Tales of Hoffman,Powell and Pressburger,Britain,1951,Dublin,DVD,Y/N,N,,
Battle of the River Plate,Powell and Pressburger,Britain,1956,Dublin,DVD,Y/Y,N,,
I’ll Met by Moonlight,Powell and Pressburger,Britain,1957,Dublin,DVD,N/N,,,
They're a Weird Mob,Powell and Pressburger,Britain,1966,Dublin,DVD,N/N,,,
Twenty Four Seven,Shane Meadows,Britain,1997,Dublin,DVD,Y/Y,N,,
A Room For Romeo Brass,Shane Meadows,Britain,1999,,,Y/Y,Y,,
Dead Man’s Shoes,Shane Meadows,Britain,2004,Dublin,DVD,Y/Y,Y,,
This Is England,Shane Meadows,Britain,2006,,,Y/Y,Y,,
Somers Town,Shane Meadows,Britain,2008,Dublin,ISO,Y/Y,Y,,
Le Donk and Scor Zay Zee,Shane Meadows,Britain,2009,,,Y/Y,N,,
Bacon’s Arena,,Britain,2006,Dublin,ISO,Y/Y,Y,,
The Last Emperor,Bernardo Bertolucci,China,1987,Dublin,DVD,Y/Y,N,,
Black Snow,Xiu Fei,China,1990,,,Y/Y,,,
Day of Wrath (bfiv666),Carl Theodore Dryer,Denmark,1943,,ISO,N/N,,,
The Element Of Crime,Lars Von Trier,Denmark,1984,Dublin,DVD,Y/Y,N,,
Epidemic,Lars Von Trier,Denmark,1987,Dublin,DVD,Y/Y,Y,,
Europa,Lars Von Trier,Denmark,1991,Dublin,DVD,Y/Y,Y,,
Crime And Punishment,Aki Kaurismaki,Finland,1983,Dublin,ISO,Y/Y,N,,
Calamari Union,Aki Kaurismaki,Finland,1985,Dublin,ISO,Y/Y,Y,,
Hamlet,Aki Kaurismaki,Finland,1987,Dublin,ISO,Y/Y,N,,
